type,latitude,longitude,speedlimit (km/h),altitude (m),course,slope (%),distance (km),distance_interval (m),name,desc
W,59.159862000,17.645480700,,29.4,,,,,Sydgatan 5, Södertälje,
W,59.157811300,17.658795800,,9.5,,,,,Glashyttans Värdshus, Badvägen 31, 151 38 Södertälje,
,,,,,,,,,,
type,latitude,longitude,speedlimit (km/h),altitude (m),course,slope (%),distance (km),distance_interval (m),name,desc
T,59.161090000,17.654780000,30,14.0,106.7,7.4,1.882,7.76,,
T,59.161060000,17.655090000,30,15.7,100.7,9.0,1.900,18.05,,
T,59.161050000,17.655190000,30,16.1,101.0,7.7,1.906,5.83,,
T,59.161050000,17.655290000,30,16.8,90.0,11.4,1.912,5.72,,
T,59.161050000,17.655390000,30,17.5,90.0,12.6,1.918,5.72,,
T,59.161050000,17.655520000,30,18.4,90.0,12.6,1.925,7.44,,
T,59.161050000,17.655630000,30,18.9,90.0,8.3,1.931,6.29,,
T,59.161040000,17.655710000,30,19.0,103.7,1.5,1.936,4.71,,
T,59.161040000,17.655800000,30,19.3,90.0,6.3,1.941,5.15,,
T,59.161030000,17.655890000,30,19.5,102.2,2.1,1.946,5.27,,
T,59.161010000,17.655960000,30,19.3,119.1,-3.9,1.951,4.58,,
T,59.160940000,17.656230000,30,18.7,116.8,-3.1,1.968,17.30,,
T,59.160880000,17.656410000,30,18.1,123.0,-5.3,1.981,12.28,,
T,59.160830000,17.656530000,30,17.5,129.1,-7.1,1.989,8.84,,
T,59.160810000,17.656590000,30,17.4,123.0,-1.8,1.994,4.09,,
T,59.160790000,17.656650000,30,17.3,123.0,-1.8,1.998,4.09,,
T,59.160770000,17.656720000,30,17.3,119.1,-0.8,2.002,4.58,,
T,59.160750000,17.656800000,30,17.3,116.0,0.0,2.007,5.09,,
T,59.160740000,17.656870000,30,17.4,105.6,2.6,2.011,4.16,,
T,59.160720000,17.656950000,30,17.4,116.0,0.4,2.017,5.09,,
T,59.160710000,17.657040000,30,17.9,102.2,9.6,2.022,5.27,,
T,59.160700000,17.657120000,30,18.3,103.7,9.2,2.027,4.71,,
T,59.160690000,17.657190000,30,18.7,105.6,8.7,2.031,4.16,,
T,59.160680000,17.657250000,30,19.0,108.0,8.0,2.034,3.61,,
T,59.160660000,17.657300000,30,19.1,128.0,2.0,2.038,3.63,,
T,59.160640000,17.657360000,30,19.2,123.0,3.5,2.042,4.09,,
T,59.160620000,17.657390000,30,19.1,142.4,-2.6,2.045,2.81,,
T,59.160590000,17.657410000,30,18.8,161.1,-8.2,2.048,3.53,,
T,59.160560000,17.657420000,30,18.5,170.3,-10.6,2.052,3.39,,
T,59.160520000,17.657430000,30,18.0,172.7,-11.2,2.056,4.49,,
